"date","raw_value","series","segment","chained_2011"
2018-02-01,98.8,"Fuel & Power WPI","2011-12 base",98.8
2018-03-01,98,"Fuel & Power WPI","2011-12 base",98
2018-04-01,99,"Fuel & Power WPI","2011-12 base",99
2018-05-01,102.4,"Fuel & Power WPI","2011-12 base",102.4
2018-06-01,104.4,"Fuel & Power WPI","2011-12 base",104.4
2018-07-01,104.4,"Fuel & Power WPI","2011-12 base",104.4
2018-08-01,104.9,"Fuel & Power WPI","2011-12 base",104.9
2018-09-01,107.8,"Fuel & Power WPI","2011-12 base",107.8
2018-10-01,111.3,"Fuel & Power WPI","2011-12 base",111.3
2018-11-01,109.3,"Fuel & Power WPI","2011-12 base",109.3
2018-12-01,102.8,"Fuel & Power WPI","2011-12 base",102.8
2019-01-01,99.3,"Fuel & Power WPI","2011-12 base",99.3
2019-02-01,100.5,"Fuel & Power WPI","2011-12 base",100.5
2019-03-01,102.5,"Fuel & Power WPI","2011-12 base",102.5
2019-04-01,102.8,"Fuel & Power WPI","2011-12 base",102.8
2019-05-01,104.4,"Fuel & Power WPI","2011-12 base",104.4
2019-06-01,102.2,"Fuel & Power WPI","2011-12 base",102.2
2019-07-01,100.6,"Fuel & Power WPI","2011-12 base",100.6
2019-08-01,101.2,"Fuel & Power WPI","2011-12 base",101.2
2019-09-01,100.6,"Fuel & Power WPI","2011-12 base",100.6
2019-10-01,102.3,"Fuel & Power WPI","2011-12 base",102.3
2019-11-01,101.3,"Fuel & Power WPI","2011-12 base",101.3
2019-12-01,103.2,"Fuel & Power WPI","2011-12 base",103.2
2020-01-01,104.7,"Fuel & Power WPI","2011-12 base",104.7
2020-02-01,103.6,"Fuel & Power WPI","2011-12 base",103.6
2020-03-01,99.5,"Fuel & Power WPI","2011-12 base",99.5
2020-04-01,89.8,"Fuel & Power WPI","2011-12 base",89.8
2020-05-01,80.3,"Fuel & Power WPI","2011-12 base",80.3
2020-06-01,85.6,"Fuel & Power WPI","2011-12 base",85.6
2020-07-01,90.7,"Fuel & Power WPI","2011-12 base",90.7
2020-08-01,92,"Fuel & Power WPI","2011-12 base",92
2020-09-01,91.9,"Fuel & Power WPI","2011-12 base",91.9
2020-10-01,90.9,"Fuel & Power WPI","2011-12 base",90.9
2020-11-01,94.2,"Fuel & Power WPI","2011-12 base",94.2
2020-12-01,96.9,"Fuel & Power WPI","2011-12 base",96.9
2021-01-01,100.7,"Fuel & Power WPI","2011-12 base",100.7
2021-02-01,105.7,"Fuel & Power WPI","2011-12 base",105.7
2021-03-01,109.2,"Fuel & Power WPI","2011-12 base",109.2
2021-04-01,108.9,"Fuel & Power WPI","2011-12 base",108.9
2021-05-01,109.8,"Fuel & Power WPI","2011-12 base",109.8
2021-06-01,110.7,"Fuel & Power WPI","2011-12 base",110.7
2021-07-01,115.2,"Fuel & Power WPI","2011-12 base",115.2
2021-08-01,117.9,"Fuel & Power WPI","2011-12 base",117.9
2021-09-01,119,"Fuel & Power WPI","2011-12 base",119
2021-10-01,126,"Fuel & Power WPI","2011-12 base",126
2021-11-01,136,"Fuel & Power WPI","2011-12 base",136
2021-12-01,133.8,"Fuel & Power WPI","2011-12 base",133.8
2022-01-01,135.3,"Fuel & Power WPI","2011-12 base",135.3
2022-02-01,138.3,"Fuel & Power WPI","2011-12 base",138.3
2022-03-01,143.9,"Fuel & Power WPI","2011-12 base",143.9
2022-04-01,151.2,"Fuel & Power WPI","2011-12 base",151.2
2022-05-01,163.6,"Fuel & Power WPI","2011-12 base",163.6
2022-06-01,167.1,"Fuel & Power WPI","2011-12 base",167.1
2022-07-01,166.6,"Fuel & Power WPI","2011-12 base",166.6
2022-08-01,159.2,"Fuel & Power WPI","2011-12 base",159.2
2022-09-01,158.4,"Fuel & Power WPI","2011-12 base",158.4
2022-10-01,158,"Fuel & Power WPI","2011-12 base",158
2022-11-01,162.8,"Fuel & Power WPI","2011-12 base",162.8
2022-12-01,158,"Fuel & Power WPI","2011-12 base",158
